120 - don quixote of la mancha
33 - knight of the rueful countenance
32 - the curate and the barber
24 - in such a way that
24 - the lady dulcinea del toboso
22 - in the middle of the
21 - the knight of the rueful
17 - said he of the grove
15 - knight don quixote of la
15 - my friend said don quixote
14 - as soon as he saw
14 - as well as he could
14 - sancho said don quixote and
14 - sancho said don quixote for
14 - the peerless dulcinea del toboso
12 - and as soon as he
12 - as soon as he had
12 - i would have you know
12 - knight of the white moon
12 - of don quixote of la
12 - sancho said don quixote that
12 - to which don quixote replied
11 - i would have thee know
11 - in the cave of montesinos
11 - it seems to me that
11 - my lady dulcinea del toboso
11 - of the knight of the
11 - said don quixote at this
11 - that is true said the
11 - the knight of the mirrors
10 - all the days of my
10 - and at the same time
10 - called the knight of the
10 - don quixote and his squire
10 - his buckler on his arm
10 - made up his mind to
10 - said don quixote but i
10 - the days of my life
10 - the duke and duchess and
10 - the knight of the grove
10 - the knight of the white
9 - at the end of which
9 - i am not going to
9 - in the course of the
9 - is true said don quixote
9 - of the ill advised curiosity
9 - of what befell don quixote
9 - quixote of la mancha and
9 - quixote of la mancha the
9 - said don quixote for i
9 - sancho my friend said don
9 - senor don quixote of la
9 - that is true said don
9 - the might of my arm
9 - with all my heart said
8 - between don quixote and his
8 - governor of the island of
8 - i don know what to
8 - in spite of all the
8 - in which is continued the
8 - in which is related the
8 - it seemed to him that
8 - knights errant in the world
8 - novel of the ill advised
8 - of the island of barataria
8 - passed between don quixote and
8 - senor don quixote said the
8 - the gate of the inn
8 - with all his heart to
8 - would have thee know sancho
7 - as has been already said
7 - as if they had been
7 - be so good as to
7 - buckler on his arm and
7 - but for all that i
7 - commending himself with all his
7 - first thing he did was
7 - for i would have you
7 - have thee know sancho that
7 - he went on to say
7 - himself with all his heart
7 - his lady dulcinea del toboso
7 - i have heard say that
7 - i should like to know
7 - in the world and i
7 - it is easy to see
7 - nothing for it but to
7 - said don quixote and i
7 - sir knight of the rueful
7 - so he said to him
7 - the first thing he did
7 - the knight of the lions
7 - the novel of the ill
7 - the truth of what i
7 - thing he did was to
7 - to don quixote of la
7 - to which sancho made answer
7 - valiant don quixote of la
7 - which is one of the
6 - adventure that befell don quixote
6 - all i can say is
6 - am don quixote of la
6 - and as soon as they
6 - and at the end of
6 - and from time to time
6 - and the bachelor samson carrasco
6 - and the best of it
6 - and the duke and duchess
6 - as soon as don quixote
6 - at the end of the
