id,verdict,category_id,topic_id,post_raw,other_json
4325,rejected,21,36471,"Dude I hate those it’s super trippy
I get so confused","{""composer_open_duration_msecs"":""18194"",""is_poll"":true,""reply_to_post_number"":""4404"",""typing_duration_msecs"":""4600""}"
4594,rejected,21,45882,"This is related to Hopscotch, if you hate it, your just a splotch on a watch","{""composer_open_duration_msecs"":""54849"",""is_poll"":true,""reply_to_post_number"":""4"",""typing_duration_msecs"":""9100""}"
5152,approved,21,46995,Why would someone hate you?,"{""composer_open_duration_msecs"":""7853"",""is_poll"":true,""reply_to_post_number"":""1355"",""typing_duration_msecs"":""1900""}"
6300,approved,24,46998,"Isn’t it weird -1 is now suddenly a big meme and then in about 3 days everyone is gonna hate it because it will be olde meme

I’m saddened by this thought about band wagoners
We must filter out the fake followers from the real onnes","{""composer_open_duration_msecs"":""53207"",""is_poll"":true,""typing_duration_msecs"":""18500""}"
6066,rejected,24,46998,@Username.me <kejejeke>,"{""composer_open_duration_msecs"":""9534"",""is_poll"":true,""reply_to_post_number"":""4203"",""typing_duration_msecs"":""1900""}"
3569,approved,5,47496,I hate those free phone websites,"{""composer_open_duration_msecs"":""15950"",""is_poll"":true,""reply_to_post_number"":""6"",""typing_duration_msecs"":""4800""}"
6671,approved,26,50077,"[quote=""HopscotchRemixer, post:1, topic:50077""]
Hopscotch Username (If you have one):
What kinds of lessons would you like to teach:
Anything else (about yourself, changes to the school):
[/quote]

My post got pending. Here we go again:

\- JonnyGamer, -1, Jeffery The Legend, Super Mario Mini Games
\- Cool Forum tricks like the post above ^^^
\- 6 years of Hopscotch experience","{""composer_open_duration_msecs"":""72909"",""is_poll"":true,""typing_duration_msecs"":""16700""}"
6670,approved,26,50077,"[quote=""HopscotchRemixer, post:1, topic:50077""]
**Teacher Sign Up Sheet:**
**Hopscotch Username (If you have one):** -1, Jeffery The Legend, Jonny Gamer, Super Mario Mini Games
**What kinds of lessons would you like to teach:** Cool Forum Tricks (and also hopscotch coding is ok too.)
**Anything else (about yourself, changes to the school):** I have 6 years of Hopscotch coding experience
[/quote]

<kdfjirvindfinefniefinwdniwd>","{""composer_open_duration_msecs"":""123234"",""is_poll"":true,""typing_duration_msecs"":""22400""}"
5076,approved,23,50389,Can you edit your own username?,"{""composer_open_duration_msecs"":""9406"",""is_poll"":true,""reply_to_post_number"":""71"",""typing_duration_msecs"":""2800""}"
1259,approved,23,50389,Can you edit your own username?,"{""composer_open_duration_msecs"":""6180"",""is_poll"":true,""typing_duration_msecs"":""2200""}"
16298,deleted,5,51642,"I did some fiddling with the zero width space on Hopscotch so it looks like there’s a user with no username

I’ll have to find that
It looks really great when it says, “<br><br><br>.” has no published projects","{""tags"":null}"
